feature,coefficient_log_price,absolute_coefficient,is_zero
cat__model_grand cherokee l limited,-0.15047824425740836,0.15047824425740836,False
cat__transmission_10-speed automatic with overdrive,0.149359766778006,0.149359766778006,False
binary__turbo,0.14841702446388377,0.14841702446388377,False
cat__engine_3.8l v8 32v gdi dohc twin turbo,0.14743019737476126,0.14743019737476126,False
cat__model_cayenne s,-0.14730679059277335,0.14730679059277335,False
cat__transmission_cvt,-0.14517823306890126,0.14517823306890126,False
cat__model_f-type r,0.13984634031825954,0.13984634031825954,False
num__vehicle_age,-0.13746332751545387,0.13746332751545387,False
cat__transmission_6-speed automatic with auto-shift,0.13505049670625174,0.13505049670625174,False
cat__exterior_color_obsidian black metallic,0.13078285847886453,0.13078285847886453,False
cat__model_f-250 xlt,0.12888435872598442,0.12888435872598442,False
cat__model_500 pop,-0.12705814818841746,0.12705814818841746,False
cat__fuel_type_gasoline,-0.12696597799735101,0.12696597799735101,False
cat__engine_2.9l v6 24v gdi dohc twin turbo,0.12636046165851672,0.12636046165851672,False
cat__model_altima 2.5 s,-0.1261041734267414,0.1261041734267414,False
"cat__engine_ingenium 2l i-4 gasoline direct injection, dohc, variable valve",-0.12531421850682706,0.12531421850682706,False
cat__engine_2.5l i5 20v mpfi dohc turbo,-0.12456215255039145,0.12456215255039145,False
binary__third_row_seating,0.12125824085849743,0.12125824085849743,False
cat__model_ghibli s,-0.12091409796048748,0.12091409796048748,False
cat__transmission_6-speed manual,0.11914499681955598,0.11914499681955598,False
cat__engine_3.2l i6 24v mpfi dohc,-0.11708829836838917,0.11708829836838917,False
"cat__engine_drive-e 2l i-4 gasoline direct injection, dohc, variable valve c",-0.11680488554020695,0.11680488554020695,False
cat__model_countryman cooper s,0.11536109657189178,0.11536109657189178,False
cat__interior_color_shale,-0.11518564361400545,0.11518564361400545,False
cat__transmission_manual,0.11453293177488617,0.11453293177488617,False
cat__engine_1.5l i3 12v gdi dohc turbo,-0.1134526865445197,0.1134526865445197,False
cat__model_quattroporte s q4,-0.11319477811040994,0.11319477811040994,False
cat__model_rover range rover evoque se,-0.11247460778210899,0.11247460778210899,False
cat__engine_2.0l i4 16v gdi dohc hybrid,0.11177721127726906,0.11177721127726906,False
cat__fuel_type_e85 flex fuel,-0.11175843520150397,0.11175843520150397,False
binary__stability_control,-0.11094513410201326,0.11094513410201326,False
"cat__engine_2l i-4 gasoline direct injection, dohc, variable valve control,",-0.10870849004787886,0.10870849004787886,False
cat__engine_4.2l v8 32v mpfi dohc,-0.10826826707727054,0.10826826707727054,False
cat__fuel_type_hybrid,-0.10797622532987715,0.10797622532987715,False
cat__model_f-type base,0.10753932324409668,0.10753932324409668,False
cat__brand_volkswagen,-0.10730682321105028,0.10730682321105028,False
cat__engine_2.5l i4 16v gdi dohc turbo,-0.10703210486020473,0.10703210486020473,False
cat__transmission_10-speed automatic,0.10649926914866142,0.10649926914866142,False
cat__model_x7 xdrive40i,0.10628411653006892,0.10628411653006892,False
cat__interior_color_charcoal black,-0.106207227414288,0.106207227414288,False
cat__engine_1.6l i4 16v mpfi dohc,-0.1060383336084734,0.1060383336084734,False
cat__model_granturismo sport,0.1058479646181914,0.1058479646181914,False
cat__engine_1.8l i4 16v mpfi dohc,-0.10539429169735909,0.10539429169735909,False
cat__model_cooper base,-0.10377667845101422,0.10377667845101422,False
cat__brand_audi,0.10372766127436595,0.10372766127436595,False
cat__engine_2.5l i4 16v pdi dohc hybrid,0.10177367633118875,0.10177367633118875,False
cat__model_romeo giulia base,-0.10097549908843101,0.10097549908843101,False
cat__model_palisade sel,0.10067258471309093,0.10067258471309093,False
binary__navigation_system,0.1002361653750673,0.1002361653750673,False
cat__model_grand cherokee limited,-0.09921088683959464,0.09921088683959464,False
cat__model_grand cherokee laredo,-0.09733959010688469,0.09733959010688469,False
cat__transmission_4-speed automatic,-0.09687361127111263,0.09687361127111263,False
cat__model_rover discovery hse,-0.09658199304605807,0.09658199304605807,False
cat__model_mazda6 touring,0.09497127160155555,0.09497127160155555,False
cat__interior_color_off black,-0.0948839967936877,0.0948839967936877,False
cat__engine_3.6l v6 24v mpfi dohc,0.09389583623888745,0.09389583623888745,False
cat__interior_color_ebony black,-0.0920598978501739,0.0920598978501739,False
cat__engine_1.3l i4 16v gdi sohc turbo,-0.09022568510932,0.09022568510932,False
cat__exterior_color_pearl white,0.08953425143634197,0.08953425143634197,False
cat__engine_5.3l v8 16v mpfi ohv flexible fuel,0.08860493916994606,0.08860493916994606,False
cat__engine_3.0l i6 24v gdi dohc turbo,0.08747264154429879,0.08747264154429879,False
binary__alloy_wheels,-0.08536380655886235,0.08536380655886235,False
cat__exterior_color_daytona gray pearl effect,0.08524170683414996,0.08524170683414996,False
cat__engine_3.7l v6 24v mpfi dohc,0.0832703002569352,0.0832703002569352,False
cat__brand_nissan,-0.08227921111466899,0.08227921111466899,False
cat__model_hardtop cooper s,0.08152977993167503,0.08152977993167503,False
cat__model_cooper s base,-0.07991160293743756,0.07991160293743756,False
cat__engine_2.0l i4 16v pdi dohc,-0.07665502151914053,0.07665502151914053,False
cat__interior_color_light gray,-0.07574643723604017,0.07574643723604017,False
cat__engine_3.0l v6 24v gdi dohc twin turbo,-0.07510270170254923,0.07510270170254923,False
cat__transmission_variable,-0.0723730415712965,0.0723730415712965,False
cat__exterior_color_brown,-0.07032625269673912,0.07032625269673912,False
binary__damaged,-0.0678012531758732,0.0678012531758732,False
cat__model_odyssey ex-l,0.06710500175756673,0.06710500175756673,False
cat__model_xt6 sport awd,0.06690316626565976,0.06690316626565976,False
cat__interior_color_black / red,0.06684658023965624,0.06684658023965624,False
cat__model_xj xjl portfolio,0.06517991946443553,0.06517991946443553,False
cat__engine_2.4l i4 16v gdi dohc,0.06497504366474247,0.06497504366474247,False
cat__interior_color_ebony/ebony,-0.06402514300168692,0.06402514300168692,False
cat__engine_3.5l v6 24v pdi dohc twin turbo,0.06173208763409385,0.06173208763409385,False
"cat__engine_2l i-4 gasoline direct injection, multiair2 variable valve contr",-0.05995256995755995,0.05995256995755995,False
cat__model_panamera 4,-0.05953137687365251,0.05953137687365251,False
cat__exterior_color_brilliant silver metallic,-0.05888728039951301,0.05888728039951301,False
