fold,rows,price_mean,price_median,price_std,price_min,price_max
1,3815,37731.8749672346,30995.0,40962.26729459483,2000.0,1599000.0
2,3815,36599.74442988204,30995.0,27978.37879604558,1700.0,423998.0
3,3815,36767.637745740496,30995.0,38756.9514578153,2498.0,1750000.0
4,3815,37047.704062909565,30995.0,37555.3585570478,1495.0,1650000.0
5,3815,36667.247706422015,30995.0,28207.156782243204,2999.0,449000.0
