Model,MAE,MSE,RMSE,R2,CV_RMSE_Mean,CV_RMSE_Std,Train_R2,Test_R2,Best_Alpha,Active_Features,Zero_Coefficients,Fit_Seconds,CV_Fold_RMSE,Generalization_Gap_R2,Overfit_Assessment
Linear Regression,5898.189190205028,194393736.73853108,13942.515437987906,0.7322265871673703,24062.495821137978,8655.680755727617,0.49266803224656575,0.7322265871673703,N/A,630,0,1.1923477000000275,"31395.59, 15048.24, 31272.12, 28276.49, 14320.03",-0.23955855492080458,test set easier or sampling shift
Ridge Regression,5903.919682524932,194383461.46899092,13942.14694618411,0.7322407411418692,24060.97320611913,8660.195859567344,0.49269493686699395,0.7322407411418692,0.1,630,0,0.570489900001121,"31398.06, 15034.35, 31274.66, 28277.00, 14320.79",-0.23954580427487526,test set easier or sampling shift
Lasso Regression,5987.161654260354,198892886.2574761,14102.938922702462,0.726029100346318,24190.800897680303,8625.612954035776,0.4852770367179615,0.726029100346318,0.0001,357,273,0.5235544000006485,"31527.56, 15219.12, 31329.96, 28408.97, 14468.39",-0.24075206362835644,test set easier or sampling shift
