feature,coefficient_log_price,absolute_coefficient,is_zero
cat__model_quattroporte s q4,-0.32842845165305096,0.32842845165305096,False
cat__model_500 pop,-0.32714609291922525,0.32714609291922525,False
cat__model_cts-v base,0.32520687648681307,0.32520687648681307,False
cat__model_grand cherokee laredo,-0.32335279347841006,0.32335279347841006,False
cat__engine_4.6l v8 32v mpfi dohc,0.3221116579128177,0.3221116579128177,False
cat__model_lancer es,-0.3195970065798642,0.3195970065798642,False
cat__engine_3.6l v6 24v gdi dohc,0.3186997387500864,0.3186997387500864,False
cat__engine_2.5l h4 16v gdi dohc turbo,0.31738344984185235,0.31738344984185235,False
cat__engine_2.5l i4 16v,0.31289329517596837,0.31289329517596837,False
cat__model_romeo giulia base,-0.30168067182532,0.30168067182532,False
cat__model_silverado 2500 lt,0.2971144143175427,0.2971144143175427,False
cat__model_cooper base,-0.2952799832034475,0.2952799832034475,False
cat__engine_2.0l i4 16v gdi dohc,0.29424446382188996,0.29424446382188996,False
cat__transmission_6-speed automatic with auto-shift,0.29177021031493866,0.29177021031493866,False
cat__model_panamera 4,-0.28962418310952015,0.28962418310952015,False
cat__model_rover range rover evoque s,-0.28924481258412177,0.28924481258412177,False
cat__engine_electric,0.2844815157641493,0.2844815157641493,False
cat__engine_3.5l v6 24v mpfi sohc,0.28386754340978765,0.28386754340978765,False
cat__engine_2.5l i4 16v gdi dohc,0.2819317621060737,0.2819317621060737,False
cat__drivetrain_unknown,0.2810676227724622,0.2810676227724622,False
cat__transmission_manual,0.28062850421827923,0.28062850421827923,False
cat__model_armada sl,-0.2787515278967175,0.2787515278967175,False
"cat__engine_3l v-6 gasoline direct injection, dohc, variable valve control,",0.27833143571941793,0.27833143571941793,False
cat__engine_2.5l i4 16v mpfi dohc,0.27497880186018364,0.27497880186018364,False
cat__transmission_6-speed manual,0.2721211601186098,0.2721211601186098,False
cat__fuel_type_unknown,0.2716556129605778,0.2716556129605778,False
cat__engine_2.5l i4 16v pdi dohc,0.2712297707364695,0.2712297707364695,False
cat__engine_1.8l i4 16v mpfi dohc hybrid,0.27115999222266707,0.27115999222266707,False
cat__model_grand cherokee limited,-0.2697011522527294,0.2697011522527294,False
cat__engine_3.0l v6 24v gdi dohc turbo,0.2689498140690375,0.2689498140690375,False
cat__model_500 sport,-0.2681800802341996,0.2681800802341996,False
cat__model_frontier sv,-0.2666873410976331,0.2666873410976331,False
cat__engine_3.0l v6 24v gdi dohc supercharged,0.26631000930198157,0.26631000930198157,False
cat__engine_3.5l v6 24v gdi dohc,0.26543662775473675,0.26543662775473675,False
cat__brand_volkswagen,-0.26469617719414695,0.26469617719414695,False
cat__engine_v6,0.2646452787562762,0.2646452787562762,False
cat__engine_2.0l i4 16v mpfi dohc hybrid,0.26459003519804625,0.26459003519804625,False
cat__model_tundra sr5,-0.26352533313838283,0.26352533313838283,False
cat__engine_2.7l v6 24v pdi dohc twin turbo,0.25765955306599647,0.25765955306599647,False
cat__model_sportage lx,-0.2549145334364622,0.2549145334364622,False
cat__transmission_10-speed automatic,0.2529179226326031,0.2529179226326031,False
cat__model_levante base,-0.2526927101311997,0.2526927101311997,False
cat__model_armada sv,-0.25233820468313767,0.25233820468313767,False
cat__engine_2.4l i4 16v mpfi sohc,0.2505197063553018,0.2505197063553018,False
cat__engine_3.5l v6 24v mpfi dohc,0.24925297229114438,0.24925297229114438,False
cat__model_q7 55 premium plus,-0.24872028011770675,0.24872028011770675,False
cat__model_mirage es,-0.2482078581352279,0.2482078581352279,False
cat__interior_color_dark slate gray,-0.2469087091839298,0.2469087091839298,False
cat__model_romeo stelvio base,-0.2457653700859215,0.2457653700859215,False
cat__model_escalade luxury,-0.24290012403695016,0.24290012403695016,False
cat__model_cooper s base,-0.2424575875000033,0.2424575875000033,False
cat__engine_4.7l v8 32v gdi dohc twin turbo,0.2424362034849757,0.2424362034849757,False
cat__engine_2.0l i4 16v gdi dohc turbo hybrid,0.24039508745429278,0.24039508745429278,False
num__mileage,-0.23879241356557107,0.23879241356557107,False
"cat__engine_multiair 1.4l i-4 variable valve control, engine with 101hp",0.23842822099301036,0.23842822099301036,False
cat__engine_3.5l v6 24v gdi sohc,0.2370840818859751,0.2370840818859751,False
cat__engine_2.0l i4 16v mpfi dohc,0.23663720932609045,0.23663720932609045,False
cat__model_500c pop,-0.2362322222129549,0.2362322222129549,False
cat__model_expedition limited,-0.23544268664955836,0.23544268664955836,False
cat__engine_3.0l v6 24v mpfi sohc,0.23540037849254253,0.23540037849254253,False
cat__model_pathfinder sl,-0.23449125187283226,0.23449125187283226,False
cat__brand_nissan,-0.23399471445078895,0.23399471445078895,False
cat__model_levante s,-0.23364552120886092,0.23364552120886092,False
cat__exterior_color_crystal white tricoat,0.23278794066504377,0.23278794066504377,False
cat__brand_jeep,-0.22949963376777907,0.22949963376777907,False
cat__model_romeo giulia ti,-0.22856522451897737,0.22856522451897737,False
cat__model_sentra sv,-0.22702151407471574,0.22702151407471574,False
cat__model_taos 1.5t se,-0.2245956858311212,0.2245956858311212,False
cat__model_wrangler unlimited rubicon,0.2227874638551573,0.2227874638551573,False
cat__engine_1.6l i4 16v gdi dohc hybrid,0.22250610796875706,0.22250610796875706,False
cat__model_pathfinder sv,-0.2224827338953611,0.2224827338953611,False
cat__model_expedition max limited,-0.2207747009016538,0.2207747009016538,False
cat__model_sonata se,-0.219451262360115,0.219451262360115,False
cat__engine_1.6l i4 16v gdi dohc turbo hybrid,0.21682879432918686,0.21682879432918686,False
cat__model_500l trekking,-0.21644312735417767,0.21644312735417767,False
cat__model_is 350 f sport,-0.21360043363286788,0.21360043363286788,False
cat__model_romeo stelvio quadrifoglio,-0.21119003288055788,0.21119003288055788,False
cat__model_outlander se,-0.21114722457160753,0.21114722457160753,False
cat__engine_2.4l i4 16v mpfi dohc,0.209252083063659,0.209252083063659,False
cat__exterior_color_obsidian black metallic,0.20823330471302556,0.20823330471302556,False
cat__model_sorento lx,-0.20758717090028217,0.20758717090028217,False
cat__transmission_5-speed manual,0.205942593249298,0.205942593249298,False
cat__model_accord lx,-0.20577847107025987,0.20577847107025987,False
cat__transmission_8-speed automatic with tiptronic,0.20515977118469772,0.20515977118469772,False
cat__model_lancer evolution gsr,0.20462516244438805,0.20462516244438805,False
