alpha,mean_train_neg_rmse_price,mean_cv_neg_rmse_price,cv_std_price,rank
0.1,-25016.184562494065,-23143.984736147024,11023.667948681432,1
1.0,-25039.98505712932,-23178.158810656612,11010.299513112335,2
10.0,-25308.296591703613,-23507.171003477073,10910.453464840894,3
100.0,-26861.994014037617,-25189.015877901875,10583.745464979882,4
