alpha,mean_train_neg_rmse_price,mean_cv_neg_rmse_price,cv_std_price,rank
0.0001,-25657.89077219338,-25942.321273159072,1949.058456018877,1
0.001,-27011.00947591907,-27343.64830841131,1396.4229121828876,2
0.01,-30263.19943306349,-31208.74464580721,501.0740766894755,3
0.1,-32645.528652251323,-32624.35191990963,1404.4723475157848,4
