feature,pearson_with_price,spearman_with_price,abs_pearson
mileage,-0.38297102322565363,-0.6691154500319224,0.38297102322565363
navigation_system,0.2843221610702425,0.47054858291203727,0.2843221610702425
year,0.24059091875449598,0.6430312985394432,0.24059091875449598
vehicle_age,-0.24059091875448735,-0.6430312985394432,0.24059091875448735
memory_seat,0.21127637782816452,0.42897670849479763,0.21127637782816452
avg_mpg,-0.20271625592527032,-0.34409314368389843,0.20271625592527032
max_mpg,-0.2015253512235723,-0.33170990688211144,0.2015253512235723
min_mpg,-0.19634167721360296,-0.3451833370500665,0.19634167721360296
apple_car_play/android_auto,0.16841350669942684,0.3252109824749508,0.16841350669942684
leather_seats,0.15751254288257663,0.3018370864239867,0.15751254288257663
first_owner,0.15740055032964984,0.3286918505065452,0.15740055032964984
damaged,-0.15657116665049498,-0.24959783217117967,0.15657116665049498
power_liftgate,0.14676250174907648,0.35903113561253297,0.14676250174907648
turbo,0.1265100037338113,0.21413845626630476,0.1265100037338113
adaptive_cruise_control,0.11124230511574011,0.2583190677538416,0.11124230511574011
sunroof/moonroof,0.1075608816527518,0.2548239262019526,0.1075608816527518
heated_seats,0.09202385073141293,0.21913986620499465,0.09202385073141293
remote_start,0.08296467907694519,0.29705175349651763,0.08296467907694519
backup_camera,0.06819840143681727,0.1856293372408745,0.06819840143681727
usb_port,-0.05665146901238411,-0.127072568347279,0.05665146901238411
engine_size,0.05592396935144247,0.3909017242709018,0.05592396935144247
automatic_transmission,0.042835267018271575,0.154397507131195,0.042835267018271575
third_row_seating,0.04167681226935018,0.15301516916513397,0.04167681226935018
stability_control,-0.028597601253651572,0.07490382404627004,0.028597601253651572
automatic_emergency_braking,-0.023426388325012842,-0.006542171848625071,0.023426388325012842
alloy_wheels,-0.021180800516703246,0.06695885691627532,0.021180800516703246
bluetooth,-0.019154489278545343,0.08828598379232716,0.019154489278545343
personal_using,0.015935499763442277,0.010555788289815985,0.015935499763442277
keyless_start,-0.012933701025779702,-0.016299886878747314,0.012933701025779702
